"Country","Code","Year","Production (tonnes)","Yield (tonnes/hectare)","prediction"
"Panama","PAN",2017,660,0.10930001,"Normal"
"Panama","PAN",2018,567,0.104600005,"Normal"
"Panama","PAN",2019,749,0.105100006,"Normal"
"Panama","PAN",2020,673,0.10560001,"Normal"
"Panama","PAN",2021,799,0.1052,"Normal"
"Panama","PAN",2022,676,0.111600004,"Normal"
"Panama","PAN",2023,562,0.1031,"Normal"
"Papua New Guinea","PNG",1961,9271,0.33760002,"Normal"
"Papua New Guinea","PNG",1962,14000,0.45620003,"Normal"
"Papua New Guinea","PNG",1963,15500,0.4844,"Normal"
"Papua New Guinea","PNG",1964,18706,0.3323,"Normal"
"Papua New Guinea","PNG",1965,20438,0.5109,"Normal"
"Papua New Guinea","PNG",1966,19200,0.51890004,"Normal"
"Papua New Guinea","PNG",1967,21400,0.47560003,"Normal"
"Papua New Guinea","PNG",1968,23900,0.45610002,"Normal"
"Papua New Guinea","PNG",1969,26600,0.48020002,"Normal"
"Papua New Guinea","PNG",1970,26100,0.4799,"Normal"
"Papua New Guinea","PNG",1971,29100,0.5266,"Normal"
"Papua New Guinea","PNG",1972,29300,0.49500003,"Normal"
"Papua New Guinea","PNG",1973,23300,0.37820002,"Normal"
"Papua New Guinea","PNG",1974,33300,0.47500002,"Normal"
"Papua New Guinea","PNG",1975,36000,0.46940002,"Normal"
"Papua New Guinea","PNG",1976,31900,0.4241,"Normal"
"Papua New Guinea","PNG",1977,28500,0.3563,"Normal"
"Papua New Guinea","PNG",1978,29500,0.3598,"Normal"
"Papua New Guinea","PNG",1979,27000,0.36,"Normal"
"Papua New Guinea","PNG",1980,31200,0.4,"Normal"
"Papua New Guinea","PNG",1981,31700,0.39630002,"Normal"
"Papua New Guinea","PNG",1982,25909,0.33220002,"Normal"
"Papua New Guinea","PNG",1983,27572,0.3535,"Normal"
"Papua New Guinea","PNG",1984,32701,0.4303,"Normal"
"Papua New Guinea","PNG",1985,35239,0.44050002,"Normal"
"Papua New Guinea","PNG",1986,32661,0.37110004,"Normal"
"Papua New Guinea","PNG",1987,32000,0.3493,"Normal"
"Papua New Guinea","PNG",1988,36000,0.3883,"Normal"
"Papua New Guinea","PNG",1989,47000,0.49740002,"Normal"
"Papua New Guinea","PNG",1990,38343,0.43080002,"Normal"
"Papua New Guinea","PNG",1991,31946,0.41230002,"Normal"
"Papua New Guinea","PNG",1992,37294,0.41900003,"Normal"
"Papua New Guinea","PNG",1993,35735,0.4073,"Normal"
"Papua New Guinea","PNG",1994,31275,0.39090002,"Normal"
"Papua New Guinea","PNG",1995,29000,0.40300003,"Normal"
"Papua New Guinea","PNG",1996,36000,0.4,"Normal"
"Papua New Guinea","PNG",1997,40000,0.4348,"Normal"
"Papua New Guinea","PNG",1998,29800,0.31370002,"Normal"
"Papua New Guinea","PNG",1999,35600,0.37470004,"Normal"
"Papua New Guinea","PNG",2000,46800,0.47760004,"Normal"
"Papua New Guinea","PNG",2001,38800,0.4268,"Normal"
"Papua New Guinea","PNG",2002,42400,0.42310002,"Normal"
"Papua New Guinea","PNG",2003,42500,0.43370003,"Normal"
"Papua New Guinea","PNG",2004,38900,0.40100002,"Normal"
"Papua New Guinea","PNG",2005,47800,0.4345,"Normal"
"Papua New Guinea","PNG",2006,51100,0.4258,"Normal"
"Papua New Guinea","PNG",2007,49300,0.4108,"Normal"
"Papua New Guinea","PNG",2008,51500,0.39020002,"Normal"
"Papua New Guinea","PNG",2009,59400,0.40970004,"Normal"
"Papua New Guinea","PNG",2010,39400,0.41250002,"Normal"
"Papua New Guinea","PNG",2011,47600,0.40770003,"Normal"
