typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","X","Export","458","MYS","Malaysia","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","73085728","false","8","kg","73085728","false","73085728","false","0","false",,"196245974.266","196245974.266","0","false","true",
"C","A","20140101","2014","52","2014","450","MDG","Madagascar","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","228150","false","8","kg","228150","false","228150","false","0","false",,"258746.528","258746.528","0","false","true",
"C","A","20140101","2014","52","2014","566","NGA","Nigeria","X","Export","360","IDN","Indonesia","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"8617605","8617605","0","true","false",
"C","A","20140101","2014","52","2014","604","PER","Peru","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","2458450","false","8","kg","2458450","false","2458450","false",,"false",,"7798816.91","7798816.91","0","false","true",
"C","A","20140101","2014","52","2014","566","NGA","Nigeria","X","Export","458","MYS","Malaysia","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"22667154","22667154","0","true","false",
"C","A","20140101","2014","52","2014","604","PER","Peru","X","Export","458","MYS","Malaysia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","1575418","false","8","kg","1575418","false","1575418","false",,"false",,"4852912.64","4852912.64","0","false","true",
"C","A","20140101","2014","52","2014","608","PHL","Philippines","X","Export","458","MYS","Malaysia","0","W00","World","H2","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1730510","false","-1","N/A",,"false","1730510","false",,"false",,"4183503","4183503","0","true","false",
"C","A","20140101","2014","52","2014","528","NLD","Netherlands","X","Export","566","NGA","Nigeria","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3000","false","8","kg","3000","false","3000","false","0","false",,"15992.196","15992.196","0","false","true",
"C","A","20140101","2014","52","2014","710","ZAF","South Africa","X","Export","288","GHA","Ghana","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2447.57","false","8","kg","2447.57","false","2447.57","false","0","false",,"16310.835","16310.835","0","false","true",
"C","A","20140101","2014","52","2014","702","SGP","Singapore","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","3","false","8","kg","3","false","3","false",,"false",,"47.38","47.38","0","false","true",
